chain,title,latitude,longitude,address,phone
Cruz Verde,Farmacias Cruz Verde,-33.447367299999996,-70.6673776,"- Av. Libertador Bernardo O'Higgins 2295, Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacias Cruz Verde,-33.440412699999996,-70.6686388,"- Compañía de Jesús 2304, Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacias Cruz Verde,-33.450821999999995,-70.677528,"- Av. Libertador Bernardo O'Higgins 3002, Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacias Cruz Verde,-33.4397641,-70.6503422,"- Huerfanos 956, 8320205 Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacia Cruz Verde,-33.4442039,-70.6544341,"- Teatinos 6, 8320000 Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacias Cruz Verde,-33.4361885,-70.6801072,"- Matucana 775, Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacias Cruz Verde,-33.4447204,-70.6567712,"- Av. Libertador Bernardo O'Higgins 1461, Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacias Cruz Verde,-33.4428804,-70.6453701,"- Av. Libertador Bernardo O'Higgins 658, Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacia Cruz Verde,-33.454211,-70.657324,"Santiago, Región Metropolitana",800 802 800
Cruz Verde,Cruz Verde,-33.4433799,-70.6492161,"- Avda Liber Bernardo O`Higgins 925 Loc 1 C, Región Metropolitana",
Cruz Verde,Farmacias Cruz Verde,-33.4518218,-70.67754219999999,"- Campbell 3090, Santiago, Estación Central, Región Metropolitana",800 802 800
Cruz Verde,Farmacias Cruz Verde,-33.4407946,-70.6527809,"- Agustinas 1139, Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacias Cruz Verde,-33.4434568,-70.6505567,"- Paseo Ahumada 2, Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacia Cruz Verde,-33.452216,-70.682615,"- Av. Libertador Bernardo O'Higgins 3470, Santiago, Estación Central, Región Metropolitana",800 802 800
Cruz Verde,Farmacias Cruz Verde,-33.4514159,-70.6796777,"- Av. Libertador Bernardo O'Higgins 3250, 9160004 Estación Central, Región Metropolitana",800 802 800
Cruz Verde,Farmacias Cruz Verde,-33.439803999999995,-70.65108599999999,"- Paseo Ahumada 298, Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacia Cruz Verde,-33.4362941,-70.6515758,"- P.º Puente 598, 8320095 Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacia Cruz Verde,-33.4597736,-70.6490396,"- San Diego 1102, Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacias Cruz Verde,-33.4406424,-70.7016451,"- Av. San Pablo 4898, Santiago, Quinta Normal, Región Metropolitana",800 802 800
Cruz Verde,Farmacias Cruz Verde,-33.44269,-70.6414175,"- Lira 49, Santiago, Región Metropolitana",800 802 800
