description,price,bioequivalent,image_url,chain,searched_drug
Geniol Infantil Paracetamol 100 mg/mL Gotas 15 mL,2590,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw01b4fb56/images/large/256767-geniol-infantil-gotas-15-ml-paracetamol-100-mg-ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Geniol Adultos Paracetamol 500 mg 20 Comprimidos,990,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw6ff1f78a/images/large/260536-geniol-adultos-analgesico-antipiretico-comprimido-20-unidades-paracetamol-500-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Paracetamol 100 mg/ml Gotas 15 mL,2890,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwb3d6b394/images/large/72127-tapsin-gotas-15-ml-paracetamol-100-mg-ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Gesidol Paracetamol 1 gr 20 Comprimidos,7190,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw0938b498/images/large/392102-gesidol-paracetamol-1-gr-20-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Alividol Paracetamol 1000 mg 20 comprimidos,7207,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwd4eb83c0/images/large/541879-alividol-paracetamol-1000-mg-20-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Alividol Paracetamol 500 mg 24 comprimido,990,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwffc30445/images/large/536642-alividol-paracetamol-500-mg-24-comprimido.png?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Puro Sin Cafeina Paracetamol 500 mg 16 Comprimidos,1190,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw0a03b750/images/large/266050-tapsin-puro-sin-cafeina-comprimido-16-unidades-paracetamol-500-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Geniol Caliente Día Paracetamol 400 mg Solución Oral 1 Sobre,607,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw18f90ad6/images/large/260733-geniol-caliente-dia-sobre-solucion-oral-paracetamol-400-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Geniol Caliente Noche Paracetamol 400 mg Solución Oral 1 Sobre,607,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw337db8a3/images/large/260734-geniol-caliente-noche-sobre-solucion-oral-paracetamol-50-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Predual 10 Comprimidos,1890,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw9285c943/images/large/13199-predual-10-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin M Migraña Paracetamol 400 mg Cafeína 33 mg 10 Comprimidos,1990,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwe7915ca3/images/large/290830-tapsin-m-aas(aspirina)-65-mg-10-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Plus Noche Paracetamol 650 mg Solución Oral 1 Sobre,660,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwd5ad7c45/images/large/72203-tapsin-plus-noche-paract-50-mg-solucion-oral-1-sobre.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Niños Paracetamol 160 mg 16 Comprimidos Masticables,2390,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw0b5fa736/images/large/72214-tapsin-ninos-paracetamol-160-mg-16-comprimidos-masticable.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Día-Noche Plus Paracetamol 400 mg 18 Comprimidos Recubiertos,3590,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwfefdf0e9/images/large/254625-tapsin-dia-noche-+-plus-antigripal-comprimido-recubierto-18-unidades-paract-50-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Panadol Niños Paracetamol 160 mg / 5 mL Jarabe 90 mL,8390,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwaa17e7b1/images/large/524760-panadol-ni%C3%B1os.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Periodo Pamabrom 25 mg 12 Comprimidos,1590,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwcec0a00b/images/large/259891-tapsin-periodo-alivia-el-dolor-y-deshincha-comprimido-12-unidades-paracetamol-25-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Plus Día Paracetamol 650 mg Solución Oral 1 Sobre,660,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw1730f57e/images/large/72202-tapsin-plus-dia-paract-650-mg-solucion-oral-1-sobre.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin Forte Paracetamol 650 mg 20 Comprimidos Recubiertos,2690,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw7a9a41e5/images/large/258320-tapsin-forte-comprimido-recubierto-20-unidades-paracetamol-650-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Tapsin 1000 SC Paracetamol 1000 mg 20 Comprimidos Recubiertos,6152,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwddc39161/images/large/383406-tapsin-1000-sc-paracetamol-1000-mg-20-comprimidos-recubiertos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Xumadol Paracetamol 1000 mg 20 Comprimidos,7912,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw7c103e30/images/large/266145-xumadol-comprimido-20-unidades-paracetamol-1000-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
"Doloten Tramadol 37,5 mg 30 Comprimidos Recubiertos",15192,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwd7534ef6/images/large/258403-doloten-comprimido-recubierto-30-unidades-tramadol-375-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Nastizol Compuesto Pseudoefedrina 30 mg/5 ml Jarabe 100 mL,9086,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwcd6cf0bc/images/large/9051-nastizol-compuesto-jarabe-100-ml-pseudoef-30-mg-5ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Desdol Clorzoxazona 300 mg 20 Comprimidos,7896,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw5253bd7d/images/large/27176-desdol-clorzoxazona-300-mg-20-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Brevex Paracetamol 300 mg 20 Comprimidos Recubiertos,11636,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw539f7e42/images/large/9113-brevex-comprimido-recubierto-20-unidades-clorzoxazona-300-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Nastizol Compuesto Pseudoefedrina 60 mg 10 Comprimidos,4921,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw897b6bd9/images/large/9088-nastizol-compuesto-comprimido-recubierto-10-unidades-pseudoef-60-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Nastizol Día-Noche Pseudoefedrina 60 mg 18 Comprimidos,2966,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw3742cfad/images/large/9212-nastizol-dia---noche-pseudoef-60-mg-18-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Geniol Flu Pseudoefedrina 30 mg Jarabe 100 mL,5290,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwa75724d1/images/large/268732-geniol-flu-jarabe-100-ml-pseudoef-30-mg-5ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Trio-Val Paracetamol 120 mg Gotas 15 mL,14423,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwf20f6b42/images/large/6105-trio-val-pseudoefedrina-75-mg-gotas-15-ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Paracetamol 500 mg 16 Comprimidos,818,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw0e11d4d8/images/large/272241-paracetamol-500-mg-16-comprimidos.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Gesidol Infantil Paracetamol 120 mg / 5 mL Jarabe 100 mL,9231,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwa92fe122/images/large/ND.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Trio-Val Pseudoefedrina 30 mg Suspensión Oral 100 mL,14159,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw88f428de/images/large/6058-trio-val-suspension-100-ml-pseudoef-30-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
"Zafin Tramadol 37,5 mg 28 Comprimidos Recubiertos",25511,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw7a242216/images/large/252758-zafin-comprimido-recubierto-28-unidades-tramadol-375-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Xumadol Paracetamol 1000 mg 20 Sobres Efervecente Granulado,8916,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwd3f38072/images/large/251075-xumadol-paracetamol-1000-mg-20-sobres-efervecente-granulado.jpg?sw=295&sh=295,Cruz Verde,paracetamol
"Nastizol Pediatrico Pseudoefedrina 7,5 mg / mL Gotas Orales 15 mL",11431,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwe35b0e6b/images/large/255611-nastizol-compuesto-pediatrico-(compositum)-gotas-orales-15-ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Kitadol Infantil Paracetamol 100 mg Gotas 15 mL,3687,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw21c52e77/images/large/1355-kitadol-infantil-paracetamol-100-mg-gotas-15-ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Paracetamol 100 mg Gotas 15 mL,1927,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw94febf65/images/large/199085-paracetamol-100-mg-gotas-15-ml.jpg?sw=295&sh=295,Cruz Verde,paracetamol
Supracalm Paracetamol 1000 mg 20 Comprimidos Recubierto,10472,paracetamol,https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dwfba98bd6/images/large/87176-supracalm-comprimido-recubierto-20-unidades-paracetamol-1000-mg.jpg?sw=295&sh=295,Cruz Verde,paracetamol
"Cronotan Efervescente Tramadol Clorhidrato 37,5 mg Paracetamol 325 mg 20 Comprimidos",11992,paracetamol,"https://beta.cruzverde.cl/dw/image/v2/BDPM_PRD/on/demandware.static/-/Sites-masterCatalog_Chile/default/dw138c99ff/images/large/541040-cronotan-efervescente-tramadol-clorhidrato-37,5-mg-paracetamol-325-mg-20-comprimidos-.jpg?sw=295&sh=295",Cruz Verde,paracetamol
